11.5,13.5,12.5,10.5,3,6.5,5,15,1,12,11.5,5,1.5,8,7.5,5,20,11,11.5,10.5,4,10,7.5,8,12.5,4,10.5,13,4.5,8,12.5,6,4,24.5,13,6.5,10,11,10,11.5,3.5
0.5,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,2,0,0.5,0,0,0,0,0,0,1.5,1,0,0,1,0,0,0.5,0,0,0,5,0.5,0,2.5
1,0,0,0.5,0.5,0,1.5,1,0,1.5,2.5,2,0.5,0.5,1.5,0.5,0.5,0,0.5,1.5,0.5,0,0,1,0.5,1.5,0.5,0.5,0,1,1,0,0,0.5,2.5,0.5,1.5,0.5,2,0.5,2
3.5,1.5,6.5,1.5,4,2.5,0.5,5,2.5,1,3.5,2,2,1.5,2,0.5,4,5.5,3.5,2,2,2.5,2,1.5,2.5,6,5,3.5,2,4.5,2,4,4,16.5,2,3.5,5.5,9,16,9,13.5
0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,1,1,0.5,0,1.5
14.5,12.5,5,10.5,12,12,8,9,11.5,12,11,11.5,11,10.5,11,10,5,8,6.5,7.5,7.5,5,9.5,14.5,7.5,2.5,8.5,7,5.5,4,7.5,4.5,5.5,0,6,6,5,9,8.5,6.5,0
3,4,7,2.5,5.5,6,6,3.5,6,5.5,7,3.5,3.5,3,0,0,3,2.5,1,1.5,1,1.5,0,3,1,3,1,1.5,1,1.5,1,4,1,3,0.5,1,1,2,5.5,2.5,2.5
4,7.5,6,8,7,2.5,8,10.5,14,7.5,5,7,3.5,7,6.5,9,3,8,4,7,5,6.5,3,3.5,6.5,14,6.5,7,12.5,14,5,10.5,4.5,15,8.5,5.5,4.5,7,18.5,9.5,11
10.5,7,10.5,14.5,8.5,10.5,7,10.5,14.5,14.5,9.5,15,11.5,13.5,12,13,8.5,7.5,11.5,12,6,8,7.5,9.5,15.5,14.5,8.5,14,14,13.5,9,14,11,8.5,11.5,14,12.5,10.5,16.5,15,14.5
2,1,0.5,0.5,1,1.5,1,0,0,5,0,1.5,1,0,1,0,3,1.5,1,2,0,0,1,3,1,0,2.5,3,0,1,0,0.5,0,10,0.5,0,1,0.5,0.5,0.5,2
13,13.5,11.5,11,13,11.5,8,5,3.5,6.5,5,11.5,14,8.5,6.5,9,13,13.5,9.5,16.5,21.5,14.5,18,13,12,3,9.5,10.5,8,7,9.5,5.5,16,10,12,15.5,8,10,5,14,5.5
11.5,11,15,16,6,17.5,6,12,6.5,11,11.5,7.5,9,6.5,10,6,11,6.5,11,12,8.5,6,9.5,9.5,10,2,12,8,2,6,8.5,2,5,5.5,9,1.5,8,7,2.5,4.5,4
30,27.5,28,30,37,25.5,36.5,24.5,30.5,27.5,23,39,35,35,28,40.5,24,28.5,25.5,23.5,25,26.5,23.5,30.5,23.5,30.5,25,25.5,39,34,23,36,42,14,23,41,30.5,27.5,24,42.5,24
21,23.5,23.5,21,32,23.5,20.5,24.5,25,23.5,18.5,23,32,23,23.5,21,30.5,25.5,29,30,23.5,27.5,31.5,19.5,27,17,25.5,18,32.5,33.5,27,21.5,30,35.5,27.5,27,23,26,29,30.5,32.5
41.5,50,39.5,43,67.5,48,62,45,41,45.5,55,51,65,54.5,48,53.5,33,38.5,32,54.5,48.5,41,46.5,38.5,33,30.5,39,40.5,63.5,49,40,49,58,54.5,50,43,29,33,34,37,58.5
7,6,12,2.5,8,5.5,2,10.5,27.5,10.5,5.5,6,10,1.5,9,17,8.5,6,4,12.5,6,4,4,11,11.5,5,8,8,8.5,9.5,9.5,10.5,3,14.5,5.5,13,6.5,8,10,16,7
39.5,32.5,45.5,43.5,49.5,38,29,40.5,50,32.5,30.5,46.5,38.5,39.5,32.5,44,25,28.5,31,25,36.5,26.5,27,24,23.5,21.5,25,29,28,29.5,23.5,19.5,23.5,16.5,18.5,19.5,4.5,13,12.5,11.5,11.5
19,41,35,31.5,35.5,27,31,36.5,62.5,21,27.5,26.5,29.5,27.5,25.5,40,30,30.5,29,33.5,27,33,30,27.5,27.5,29.5,37,31,23,30,32,24,22.5,30,27,25,28.5,38,30.5,51,24
0.5,4.5,4,1.5,7,3.5,1.5,1,7,2,4,1.5,1,3.5,2,5.5,2,2.5,1,2.5,1,3.5,2.5,2.5,2,9.5,2,3,10,3.5,2,9.5,0.5,12,0,2.5,1,1,3,2,5.5
4.5,0.5,1.5,2.5,0,0,0.5,3,0.5,3.5,7,5,0,2.5,0,1,1.5,1.5,6,1,4.5,1,5,0.5,1,7,5.5,2.5,3,3.5,2,10,5,0.5,1.5,3.5,2.5,2,10,5.5,2.5
34,27.5,25,27.5,40,37,35.5,30.5,32.5,31,52.5,34,34,30,41.5,33,41,35,37.5,33,41.5,30,42.5,31,34.5,38,38.5,33,38.5,35,31.5,29.5,50,50,27.5,38,28.5,35.5,47.5,41,39
1,5.5,5,4,9,5,1.5,1.5,10,2.5,4,1,2,4,2.5,9,2,2.5,1.5,3,1.5,3,2.5,3.5,3,11.5,2,2.5,10.5,3.5,2,10.5,1,12,0,2,1,1.5,2.5,2,5.5
