9,2.5,0,6.5,7.5,10.5,3.5,2.5,9.5,4,18.5,1,2.5,1.5,6,8,12.5,17,2.5,3,4,2.5,10,7,10,12.5,9.5,13,3.5,3.5,10,1,2.5,7.5,16,0,4.5,3,3.5,6.5,1
0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,1,2.5,1.5,4,0.5,0.5
0,0.5,0,0,0.5,0,1.5,0,0.5,0.5,1.5,1.5,1.5,0,1,0,1,2,0.5,0.5,0.5,0.5,2,0,0.5,0.5,1.5,0.5,1,0,0.5,0,0,0.5,1,0,0,2,1,0.5,1.5
15.5,6.5,5,4,6.5,6.5,6.5,9,11,8.5,8.5,7,4,6,8.5,2.5,5.5,6.5,5,7.5,9,5.5,4,11,13,9.5,7.5,7,10,14,9,10,8,5,12.5,6,6.5,10,15.5,12.5,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0.5,0,0.5
9,15,18.5,3.5,4,1,13,2.5,9.5,7,2,15,5.5,5.5,0,0.5,0,0.5,16,4,2.5,0.5,5.5,1,6.5,2,1,1.5,4,1,0.5,12.5,15,13.5,2.5,11.5,3,12.5,4.5,3,12.5
3.5,4.5,10.5,6.5,7,7.5,3,10.5,3.5,8,5,3.5,7,10.5,7,6,7.5,10,3,5,6.5,2.5,8,1.5,6.5,3.5,5,2,2.5,3.5,6,2,0.5,1.5,5,7.5,5,4,7.5,2,2
27,18,12,22,21,6,18,26,12.5,16.5,2,16,21.5,18,17.5,15,14,11.5,11,18,11,11,19,16.5,6,6,4,5,16,13,10.5,17.5,13.5,8,20,5.5,9,15,15.5,14,6.5
11.5,15.5,15,13,11.5,8,13.5,13.5,13,11,9,16,9.5,11.5,12.5,16,13.5,15,14.5,15,10,8,9.5,10.5,18.5,14.5,14.5,16.5,17.5,16.5,15,21.5,23.5,10,15,16,10,21.5,16,20,18
9,4.5,0.5,0,0,0,2,0,0,0,0,1,1,0.5,0,0.5,0,0,0,0.5,0.5,0,0,2,2,0,0.5,0,1.5,0,0,7.5,1,0,2,5,1.5,0.5,1,0,3
6.5,6,8.5,6.5,8,10.5,21.5,1,8.5,9.5,14.5,10.5,15.5,9,5.5,5,5.5,16,5.5,3.5,7,9.5,4.5,6,27,10.5,10.5,8.5,8,7,8.5,11,11.5,3,3.5,10.5,2.5,11,7.5,11.5,14.5
25,7,7.5,10,9.5,11,7.5,3.5,13,4,11,9.5,6.5,9,2.5,5.5,9.5,9,7.5,4,4,10,5.5,9,6.5,7,5,9.5,2.5,4,11.5,9.5,7,6.5,11.5,4.5,5,3,3.5,8,4
8.5,15.5,13,7.5,18.5,19.5,3.5,7,15.5,18.5,9,9.5,7,13.5,8.5,8,9,26.5,7.5,19,4,18.5,4.5,8,12,17,17.5,15,17.5,9.5,17.5,5.5,12,13,5,12,11.5,14,13.5,12.5,8
27,17.5,26.5,26.5,20,18,30,31,15,25.5,6,21,23.5,18,26,26.5,9,15,24,27.5,23.5,26.5,30.5,10.5,33.5,17.5,19.5,22.5,19,24.5,19.5,17,22,16,24.5,16.5,28,16,23.5,26,14.5
47.5,48,51,33,27.5,8,46.5,33.5,31,50,6.5,58,49,48.5,41,43.5,23.5,16.5,48,44.5,44.5,32,32.5,23,37.5,39.5,23.5,27,51.5,35,17,63.5,42.5,27.5,33.5,46.5,33,31,33,51.5,28
18.5,11,20.5,10.5,12,14.5,6,11.5,7,9.5,19,20,7.5,8,4.5,9,10.5,13,18,10.5,9,9,10,11.5,11.5,8.5,16.5,8,11.5,11.5,13.5,17,16.5,13.5,14.5,13,15,9.5,9.5,9,10.5
39,38.5,49,32,31,27.5,37,35,32,29.5,17,34.5,37.5,35,35.5,32.5,21.5,21,34,31.5,32.5,25,20,25,37,22,15.5,19,20,23.5,16.5,24,16.5,27,17,16.5,13.5,14,15,20.5,17
27.5,20,38.5,20.5,30.5,32.5,31.5,26,23,29.5,20.5,32.5,30,33,25.5,18,35.5,26.5,22,32.5,23,40.5,27.5,29.5,23,38.5,40,25,22.5,15,30.5,35,22.5,28,37.5,18,27.5,39.5,29,26,32.5
13,10,13,10,7.5,3.5,15.5,12.5,5,10,2,8,5,8,9.5,11.5,5.5,2.5,13,11,13.5,12.5,18,8,9.5,5,5.5,8,10,11.5,11.5,8,11.5,6,12,10.5,11.5,4.5,7.5,4,0
3,1.5,0,0,0,1.5,1.5,3.5,4.5,11.5,5,1.5,8.5,4,7,11,2.5,11,2,6.5,9.5,4,1,1.5,10.5,15,7.5,11.5,4,5.5,2.5,1.5,5,11.5,0.5,0,3,3,1,5.5,1
33.5,40.5,50.5,35,38,62,49.5,37,35,35,34.5,67.5,65.5,42.5,73,49.5,37.5,47.5,45.5,53,42.5,48.5,42,59,46.5,41.5,55.5,42.5,44.5,32,42,47,47.5,41.5,34,37,33.5,31,35.5,59,42
14.5,14,15.5,13,10.5,4.5,18.5,11,6.5,11.5,2,9.5,6.5,11,9.5,10.5,6.5,4,17.5,15,13,14,19.5,9,10,5,6.5,8,9.5,12,11.5,8.5,11,6,12.5,11.5,13,4,8.5,4.5,0
